DISTRICT,SCHOOL,SCHOOL.LEVEL..x,X2009.2010.OVERALL.GRADE,X2009.2010.ENVIRONMENT.GRADE,X2009.2010.PERFORMANCE.GRADE,X2009.2010.PROGRESS.GRADE,X2008.2009.PROGRESS.REPORT.GRADE,X2010.2011.OVERALL.GRADE,X2010.2011.ENVIRONMENT.GRADE,X2010.2011.PERFORMANCE.GRADE,X2010.2011.PROGRESS.GRADE,X2009.2010.PROGRESS.REPORT.GRADE,BOROUGH
1,P.S. 137 John L. Bernstein,Elementary,C,B,D,F,A,F ,C ,D ,F ,C,Manhattan
1,Earth School,Elementary,D,B,F,D,B,C ,A ,D ,D ,D,Manhattan
1,Neighborhood School,Elementary,C,B,D,C,B,C ,C ,C ,D ,C,Manhattan
1,East Side Community School,High School,A,A,A,B,A,A ,A ,A ,B ,A,Manhattan
1,P.S. 188 The Island School,K-8,C,B,D,F,A,A ,C ,C ,A ,C,Manhattan
1,Henry Street School for International Studies,Middle,C,D,D,C,B,C ,C ,D ,C ,C,Manhattan
1,P.S. 184m Shuang Wen,K-8,A,A,A,A,A,A ,A ,A ,A ,A,Manhattan
1,P.S. 034 Franklin D. Roosevelt,K-8,B,B,C,B,A,C ,B ,B ,C ,B,Manhattan
1,P.S. 142 Amalia Castro,Elementary,B,A,C,B,A,C ,A ,C ,F ,B,Manhattan
1,P.S. 110 Florence Nightingale,Elementary,D,C,C,D,B,C ,C ,B ,C ,D,Manhattan
1,Henry Street School for International Studies,High School,D,F,C,F,B,C ,C ,D ,C ,C,Manhattan
1,P.S. 063 William McKinley,Elementary,B,B,C,A,B,B ,B ,B ,B ,B,Manhattan
1,East Side Community School,Middle,A,A,B,A,A,A ,A ,A ,B ,A,Manhattan
1,P.S. 134 Henrietta Szold,Elementary,B,C,D,A,B,C ,C ,C ,C ,B,Manhattan
1,"New Explorations into Science, Technology and Math",K-8,A,B,A,A,A,A ,B ,A ,A ,A,Manhattan
1,Tompkins Square Middle School,Middle,A,A,A,A,A,B ,A ,B ,C ,A,Manhattan
1,P.S. 064 Robert Simon,Elementary,C,A,D,D,A,C ,A ,D ,D ,C,Manhattan
1,"Technology, Arts, and Sciences Studio",Middle,C,B,C,C,A,B ,B ,C ,B ,C,Manhattan
1,P.S. 019 Asher Levy,Elementary,C,B,D,B,A,B ,B ,D ,A ,C,Manhattan
1,University Neighborhood Middle School,Middle,B,B,C,B,A,C ,A ,D ,C ,B,Manhattan
1,School for Global Leaders,Middle,B,A,B,B,,B ,B ,B ,B ,B,Manhattan
1,P.S. 020 Anna Silver,Elementary,A,A,C,A,A,B ,B ,C ,B ,A,Manhattan
1,The East Village Community School,Elementary,C,C,D,D,A,C ,A ,B ,C ,C,Manhattan
1,"New Explorations into Science, Technology and Math",High School,B,C,A,B,A,A ,B ,A ,A ,A,Manhattan
1,P.S. 015 Roberto Clemente,Elementary,C,B,D,B,B,C ,B ,D ,C ,C,Manhattan
1,The Children's Workshop School,Elementary,C,B,F,B,B,B ,B ,D ,B ,C,Manhattan
1,P.S. 140 Nathan Straus,K-8,B,A,C,B,A,D ,B ,D ,D ,B,Manhattan
2,Ella Baker School,K-8,B,B,D,A,A,C ,B ,C ,C ,B,Manhattan
2,P.S. 212 Midtown West,Elementary,A,A,B,B,A,B ,A ,A ,C ,A,Manhattan
2,M.S. 255 Salk School of Science,Middle,B,A,B,C,B,A ,A ,A ,A ,B,Manhattan
2,P.S. 011 William T. Harris,Elementary,A,A,A,A,A,A ,A ,B ,B ,A,Manhattan
2,School of the Future High School,High School,A,B,A,B,A,A ,A ,A ,B ,B,Manhattan
2,P.S. 033 Chelsea Prep,Elementary,A,A,A,B,A,B ,A ,B ,B ,A,Manhattan
2,P.S. 006 Lillie D. Blake,Elementary,B,C,B,B,A,A ,C ,B ,A ,B,Manhattan
2,P.S. 042 Benjamin Altman,Elementary,A,A,A,A,A,A ,A ,A ,A ,A,Manhattan
2,P.S. 89,Elementary,B,B,C,B,A,B ,A ,B ,C ,B,Manhattan
2,P.S. 126 Jacob August Riis,K-8,A,B,A,A,A,A ,C ,B ,A ,A,Manhattan
2,P.S. 040 Augustus Saint-Gaudens,Elementary,A,A,B,A,A,A ,A ,B ,A ,A,Manhattan
2,P.S. 158 Bayard Taylor,Elementary,A,D,A,A,A,B ,C ,A ,B ,A,Manhattan
2,P.S. 116 Mary Lindley Murray,Elementary,B,B,B,C,A,C ,A ,B ,D ,B,Manhattan
2,"Ballet Tech, NYC Public School for Dance",K-8,C,A,B,F,A,B ,A ,A ,B ,C,Manhattan
2,Lower Manhattan Community Middle School,Middle,C,B,B,D,A,B ,A ,B ,C ,C,Manhattan
2,Life Sciences Secondary School,High School,A,D,A,B,B,C ,C ,D ,C ,C,Manhattan
2,P.S. 234 Independence School,Elementary,B,A,B,B,A,A ,A ,B ,B ,B,Manhattan
2,School of the Future High School,Middle,B,B,B,C,A,A ,A ,A ,B ,B,Manhattan
2,Professional Performing Arts High School,High School,A,B,A,A,A,B ,C ,A ,B ,A,Manhattan
2,P.S. 041 Greenwich Village,Elementary,B,A,B,B,A,A ,A ,B ,B ,B,Manhattan
2,Quest to Learn,Middle,,,,,,B ,B ,B ,C ,,Manhattan
2,P.S. 77 Lower Lab School,Elementary,A,B,A,A,A,A ,A ,A ,A ,A,Manhattan
2,M.S. 131,Middle,B,B,C,A,A,A ,A ,C ,A ,B,Manhattan
